Festival,StartDate,EndDate,Weight,Region
Holi,2026-03-04,2026-03-07,0.05,North-India
Vishu,2026-04-14,2026-04-16,0.03,Kerala
Onam,2026-08-29,2026-09-04,0.07,Kerala
Navaratri,2026-10-17,2026-10-25,0.06,West-India
Diwali,2026-11-08,2026-11-13,0.10,Pan-India
Christmas,2026-12-24,2026-12-26,0.04,Pan-India
Eid al-Fitr,2026-04-13,2026-04-14,0.08,Pan-India
Ganesh Chaturthi,2026-09-10,2026-09-20,0.05,West-India
Pongal,2026-01-14,2026-01-17,0.03,Tamil Nadu
Baisakhi,2026-04-13,2026-04-14,0.02,North-India
Makar Sankranti,2026-01-14,2026-01-15,0.03,Pan-India
Raksha Bandhan,2026-08-19,2026-08-20,0.04,Pan-India
Lohri,2026-01-13,2026-01-14,0.02,North-India
Durga Puja,2026-10-01,2026-10-05,0.06,East-India
