Store_ID,Store_Name,Chain,Store_Type,Scope,State,Region,Categories,Num_Categories,Area_SqFt,Competition_Distance_KM,Has_Parking,Has_Online_Delivery
1,"Reliance Smart - Connaught Place, New Delhi",Reliance Smart,Hypermarket,National,Delhi / NCR,North India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Personal Care,6,59422,6.5,True,False
2,"DMart - Sector 18, Noida",DMart,Hypermarket,National,Delhi / NCR,North India,Groceries & Staples|Snacks & Beverages|Home Care|Personal Care|Kitchen & Dining,5,14284,1.7,True,True
3,"Star Bazaar - Gomti Nagar, Lucknow",Star Bazaar,Hypermarket,National,Delhi / NCR,North India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Kitchen & Dining,6,50191,3.0,True,False
4,"Decathlon - Sector 17, Chandigarh",Decathlon,Sports Store,National,Delhi / NCR,North India,Clothing & Apparel|Health & Wellness,2,3769,5.9,False,True
5,"Zudio - Saket, New Delhi",Zudio,Fashion Retail,National,Delhi / NCR,North India,Clothing & Apparel,1,40819,1.9,True,True
6,"Max Fashion - Ludhiana, Punjab",Max Fashion,Fashion Retail,National,Delhi / NCR,North India,Clothing & Apparel,1,30480,2.7,True,True
7,"Reliance Digital - Lajpat Nagar, New Delhi",Reliance Digital,Electronics,National,Delhi / NCR,North India,Electronics & Appliances,1,5747,3.2,True,False
8,"Croma - Cyber Hub, Gurgaon",Croma,Electronics,National,Delhi / NCR,North India,Electronics & Appliances,1,56810,3.4,False,True
9,"Vishal Mega Mart - Karol Bagh, New Delhi",Vishal Mega Mart,Discount Retail,North,Delhi / NCR,North India,Clothing & Apparel|Groceries & Staples,2,6556,5.1,True,True
10,"V-Mart - Gomti Nagar, Lucknow",V-Mart,Fashion Retail,North,Delhi / NCR,North India,Clothing & Apparel,1,13627,7.6,True,True
11,"24SEVEN - Hauz Khas, New Delhi",24SEVEN,Convenience Store,North,Delhi / NCR,North India,Snacks & Beverages|Dairy & Eggs,2,26897,1.2,True,True
12,"Fabindia - Khan Market, New Delhi",Fabindia,Premium Handloom,North,Delhi / NCR,North India,Clothing & Apparel|Health & Wellness,2,51555,4.2,True,False
13,"Liberty Shoes - Amritsar, Punjab",Liberty Shoes,Footwear,North,Delhi / NCR,North India,Clothing & Apparel,1,29531,1.9,False,True
14,"Modern Bazaar - Greater Kailash, New Delhi",Modern Bazaar,Premium Grocery,North,Delhi / NCR,North India,Fresh Produce|Snacks & Beverages|Dairy & Eggs,3,46573,4.6,True,False
15,"Reliance Smart - Whitefield, Bengaluru",Reliance Smart,Hypermarket,National,Karnataka / Tamil Nadu,South India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Personal Care,6,9873,3.9,True,False
16,"DMart - Velachery, Chennai",DMart,Hypermarket,National,Karnataka / Tamil Nadu,South India,Groceries & Staples|Snacks & Beverages|Home Care|Personal Care|Kitchen & Dining,5,35606,7.4,True,True
17,"Star Bazaar - Banjara Hills, Hyderabad",Star Bazaar,Hypermarket,National,Karnataka / Tamil Nadu,South India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Kitchen & Dining,6,4016,7.7,False,False
18,"Decathlon - Koramangala, Bengaluru",Decathlon,Sports Store,National,Karnataka / Tamil Nadu,South India,Clothing & Apparel|Health & Wellness,2,20262,6.7,True,True
19,"Zudio - T Nagar, Chennai",Zudio,Fashion Retail,National,Karnataka / Tamil Nadu,South India,Clothing & Apparel,1,11571,2.6,True,True
20,"Max Fashion - Thrissur, Kerala",Max Fashion,Fashion Retail,National,Karnataka / Tamil Nadu,South India,Clothing & Apparel,1,51984,7.9,False,True
21,"Reliance Digital - HITEC City, Hyderabad",Reliance Digital,Electronics,National,Karnataka / Tamil Nadu,South India,Electronics & Appliances,1,51190,6.6,True,False
22,"Croma - Indiranagar, Bengaluru",Croma,Electronics,National,Karnataka / Tamil Nadu,South India,Electronics & Appliances,1,15666,1.1,True,True
23,"Lulu Hypermarket - MG Road, Kochi",Lulu Hypermarket,Hypermarket,South,Karnataka / Tamil Nadu,South India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Personal Care,5,25662,6.9,True,True
24,"Pothys - T Nagar, Chennai",Pothys,Traditional Textile,South,Karnataka / Tamil Nadu,South India,Clothing & Apparel,1,38222,5.5,True,True
25,"Saravana Stores - Anna Nagar, Chennai",Saravana Stores,General Retail,South,Karnataka / Tamil Nadu,South India,Kitchen & Dining|Personal Care,2,13965,7.2,True,True
26,"Nilgiris - Jubilee Hills, Hyderabad",Nilgiris,Specialty Grocery,South,Karnataka / Tamil Nadu,South India,Dairy & Eggs|Snacks & Beverages|Fresh Produce,3,16773,6.9,True,True
27,"Vasanth & Co - Coimbatore, Tamil Nadu",Vasanth & Co,Home Appliances,South,Karnataka / Tamil Nadu,South India,Electronics & Appliances|Kitchen & Dining,2,48453,4.2,True,True
28,"Sangeetha Mobiles - Jayanagar, Bengaluru",Sangeetha Mobiles,Electronics,South,Karnataka / Tamil Nadu,South India,Electronics & Appliances,1,59873,3.8,True,False
29,"Reliance Smart - Andheri, Mumbai",Reliance Smart,Hypermarket,National,Maharashtra / Gujarat,West India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Personal Care,6,59560,2.9,True,False
30,"DMart - SG Highway, Ahmedabad",DMart,Hypermarket,National,Maharashtra / Gujarat,West India,Groceries & Staples|Snacks & Beverages|Home Care|Personal Care|Kitchen & Dining,5,43342,5.0,True,True
31,"Star Bazaar - FC Road, Pune",Star Bazaar,Hypermarket,National,Maharashtra / Gujarat,West India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Kitchen & Dining,6,58820,1.1,True,True
32,"Decathlon - Thane, Mumbai MMR",Decathlon,Sports Store,National,Maharashtra / Gujarat,West India,Clothing & Apparel|Health & Wellness,2,46585,5.2,True,True
33,"Zudio - Surat Ring Road, Surat",Zudio,Fashion Retail,National,Maharashtra / Gujarat,West India,Clothing & Apparel,1,32467,6.5,True,False
34,"Max Fashion - Vadodara, Gujarat",Max Fashion,Fashion Retail,National,Maharashtra / Gujarat,West India,Clothing & Apparel,1,24834,2.9,True,True
35,"Reliance Digital - Bandra, Mumbai",Reliance Digital,Electronics,National,Maharashtra / Gujarat,West India,Electronics & Appliances,1,26776,2.5,True,True
36,"Croma - Vashi, Navi Mumbai",Croma,Electronics,National,Maharashtra / Gujarat,West India,Electronics & Appliances,1,58016,2.8,True,True
37,"Vijay Sales - Dadar, Mumbai",Vijay Sales,Electronics,West,Maharashtra / Gujarat,West India,Electronics & Appliances|Kitchen & Dining,2,56565,2.2,True,True
38,"Sahakari Bhandar - Prabhadevi, Mumbai",Sahakari Bhandar,Cooperative Grocery,West,Maharashtra / Gujarat,West India,Groceries & Staples|Fresh Produce,2,37766,1.8,True,True
39,"Nature's Basket - Bandra, Mumbai",Nature's Basket,Premium Grocery,West,Maharashtra / Gujarat,West India,Fresh Produce|Dairy & Eggs|Snacks & Beverages,3,55915,3.2,False,False
40,"Bombay Dyeing - Lower Parel, Mumbai",Bombay Dyeing,Home Textiles,West,Maharashtra / Gujarat,West India,Home Care|Kitchen & Dining,2,55733,5.7,True,True
41,"Jade Blue - CG Road, Ahmedabad",Jade Blue,Men's Fashion,West,Maharashtra / Gujarat,West India,Clothing & Apparel,1,30728,2.5,False,True
42,"Tirumala Sweets - Chembur, Mumbai",Tirumala Sweets,Specialty Food,West,Maharashtra / Gujarat,West India,Snacks & Beverages,1,3854,2.6,False,True
43,"Reliance Smart - Park Street, Kolkata",Reliance Smart,Hypermarket,National,West Bengal / Assam,East India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Personal Care,6,57401,4.5,True,True
44,"DMart - Salt Lake, Kolkata",DMart,Hypermarket,National,West Bengal / Assam,East India,Groceries & Staples|Snacks & Beverages|Home Care|Personal Care|Kitchen & Dining,5,7931,1.1,True,True
45,"Star Bazaar - Janpath, Bhubaneswar",Star Bazaar,Hypermarket,National,West Bengal / Assam,East India,Groceries & Staples|Fresh Produce|Dairy & Eggs|Snacks & Beverages|Home Care|Kitchen & Dining,6,40157,3.3,True,True
46,"Decathlon - New Town, Kolkata",Decathlon,Sports Store,National,West Bengal / Assam,East India,Clothing & Apparel|Health & Wellness,2,37698,6.6,False,True
47,"Zudio - Boring Road, Patna",Zudio,Fashion Retail,National,West Bengal / Assam,East India,Clothing & Apparel,1,23666,1.9,True,True
48,"Max Fashion - GS Road, Guwahati",Max Fashion,Fashion Retail,National,West Bengal / Assam,East India,Clothing & Apparel,1,59250,2.2,True,False
49,"Reliance Digital - South City Mall, Kolkata",Reliance Digital,Electronics,National,West Bengal / Assam,East India,Electronics & Appliances,1,14411,5.3,True,False
50,"Croma - Hill Cart Road, Siliguri",Croma,Electronics,National,West Bengal / Assam,East India,Electronics & Appliances,1,8759,4.4,False,False
51,"Spencer's Retail - Forum Mall, Kolkata",Spencer's Retail,Hypermarket,East,West Bengal / Assam,East India,Fresh Produce|Groceries & Staples|Dairy & Eggs|Snacks & Beverages,4,11120,1.4,False,False
52,"Style Baazar - Fancy Bazar, Guwahati",Style Baazar,Fashion Retail,East,West Bengal / Assam,East India,Clothing & Apparel,1,33306,2.2,True,False
53,"Bazaar Kolkata - Esplanade, Kolkata",Bazaar Kolkata,Discount Retail,East,West Bengal / Assam,East India,Clothing & Apparel,1,19371,4.5,True,True
54,"Khadims - Hatibagan, Kolkata",Khadims,Footwear,East,West Bengal / Assam,East India,Clothing & Apparel,1,23932,7.3,True,True
